seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
333,1777463539900239697,1777463539914961736,14722039
334,1777463539925097571,1777463539939084722,13987151
335,1777463539949282787,1777463539958901701,9618914
336,1777463539969206952,1777463539978464344,9257392
337,1777463539988710420,1777463539994763624,6053204
338,1777463540004988105,1777463540050652956,45664851
339,1777463540060841521,1777463540070096533,9255012
340,1777463540080223803,1777463540083981481,3757678
341,1777463540094185336,1777463540109475521,15290185
342,1777463540119749840,1777463540125108195,5358355
343,1777463540135348098,1777463540146978414,11630316
344,1777463540157160453,1777463540173227212,16066759
345,1777463540183372350,1777463540196508296,13135946
346,1777463540206634535,1777463540215930963,9296428
347,1777463540226086909,1777463540228868021,2781112
348,1777463540239115385,1777463540245802026,6686641
349,1777463540255921747,1777463540288629839,32708092
350,1777463540298770854,1777463540324577104,25806250
351,1777463540334993885,1777463540389223272,54229387
352,1777463540399445693,1777463540404163444,4717751
353,1777463540414368587,1777463540447581671,33213084
354,1777463540457704956,1777463540460252657,2547701
355,1777463540470497646,1777463540474953507,4455861
356,1777463540485228452,1777463540489340761,4112309
357,1777463540499551971,1777463540506915510,7363539
358,1777463540517253538,1777463540533700484,16446946
359,1777463540543923204,1777463540559491623,15568419
360,1777463540569772757,1777463540585435950,15663193
361,1777463540595586033,1777463540609342950,13756917
362,1777463540619579833,1777463540654829747,35249914
363,1777463540665090093,1777463540689583009,24492916
364,1777463540699723445,1777463540724961211,25237766
365,1777463540735231366,1777463540739822971,4591605
366,1777463540750145378,1777463540759995772,9850394
367,1777463540770231438,1777463540786633930,16402492
368,1777463540796853597,1777463540801155789,4302192
369,1777463540811332596,1777463540825235017,13902421
370,1777463540835425107,1777463540838859543,3434436
371,1777463540849106305,1777463540857171541,8065236
372,1777463540867322187,1777463540874611507,7289320
373,1777463540884743355,1777463540898321671,13578316
374,1777463540908461708,1777463540918241050,9779342
375,1777463540928363347,1777463540963902488,35539141
376,1777463540974164645,1777463540991827131,17662486
377,1777463541001965920,1777463541006317623,4351703
378,1777463541016462166,1777463541034843996,18381830
379,1777463541045088826,1777463541051428899,6340073
380,1777463541061688038,1777463541069224400,7536362
381,1777463541079345506,1777463541094128197,14782691
382,1777463541104364851,1777463541117450281,13085430
383,1777463541127614038,1777463541139700896,12086858
384,1777463541150018741,1777463541165153571,15134830
385,1777463541175376304,1777463541186125856,10749552
386,1777463541196251344,1777463541206635041,10383697
387,1777463541216800283,1777463541224157946,7357663
388,1777463541234286182,1777463541248498865,14212683
389,1777463541258627896,1777463541272981949,14354053
390,1777463541283235961,1777463541307368411,24132450
391,1777463541317610465,1777463541324508301,6897836
392,1777463541334726022,1777463541348439033,13713011
393,1777463541358592743,1777463541377711097,19118354
394,1777463541388017670,1777463541401012691,12995021
395,1777463541411191012,1777463541434204099,23013087
396,1777463541444317053,1777463541486830566,42513513
397,1777463541497042122,1777463541512625830,15583708
398,1777463541522757010,1777463541528999502,6242492
399,1777463541539227532,1777463541579119130,39891598
400,1777463541589241869,1777463541592753466,3511597
401,1777463541602883838,1777463541609056242,6172404
402,1777463541619338635,1777463541638949602,19610967
403,1777463541649249583,1777463541710459440,61209857
404,1777463541720718247,1777463541733849211,13130964
405,1777463541744118039,1777463541751407780,7289741
406,1777463541761647355,1777463541778951472,17304117
407,1777463541789101743,1777463541795924606,6822863
408,1777463541806083761,1777463541837477486,31393725
409,1777463541847640631,1777463541856411016,8770385
410,1777463541866586506,1777463541893821699,27235193
411,1777463541904052986,1777463541913682028,9629042
412,1777463541923823256,1777463541932140080,8316824
413,1777463541942267680,1777463541964740786,22473106
414,1777463541974870319,1777463541990913084,16042765
415,1777463542001142478,1777463542007618112,6475634
416,1777463542017880875,1777463542026373937,8493062
417,1777463542036519102,1777463542078358348,41839246
418,1777463542088475001,1777463542093318664,4843663
419,1777463542103530787,1777463542113317096,9786309
420,1777463542123458013,1777463542157572683,34114670
421,1777463542167749631,1777463542171685396,3935765
422,1777463542181839812,1777463542196500594,14660782
423,1777463542206654332,1777463542266910000,60255668
424,1777463542277185179,1777463542306085010,28899831
425,1777463542316342389,1777463542324036589,7694200
426,1777463542334216326,1777463542348990316,14773990
427,1777463542359117474,1777463542365162702,6045228
428,1777463542391267392,1777463542519254731,127987339
429,1777463542529492523,1777463542536238986,6746463
430,1777463542546363742,1777463542613595712,67231970
431,1777463542623765504,1777463542633517084,9751580
432,1777463542643686613,1777463542803695249,160008636
433,1777463542813835016,1777463542818743130,4908114
434,1777463542828899778,1777463542845388810,16489032
435,1777463542855506763,1777463542862383597,6876834
436,1777463542872537323,1777463542884214499,11677176
437,1777463542894382173,1777463542904840490,10458317
438,1777463542914988266,1777463542919727896,4739630
439,1777463542929934747,1777463542946160647,16225900
440,1777463542956282377,1777463542962236430,5954053
441,1777463542972457917,1777463542988931683,16473766
442,1777463542999080018,1777463543015165709,16085691
443,1777463543025299412,1777463543215394793,190095381
444,1777463543225576613,1777463543229659749,4083136
445,1777463543239881587,1777463543253093253,13211666
446,1777463543263287179,1777463543276115834,12828655
447,1777463543286265068,1777463543296954938,10689870
448,1777463543307225252,1777463543318858402,11633150
449,1777463543329079288,1777463543331582828,2503540
450,1777463543341829276,1777463543359040211,17210935
451,1777463543369326814,1777463543398793371,29466557
452,1777463543408922963,1777463543426008976,17086013
453,1777463543436099500,1777463543450484095,14384595
454,1777463543460610380,1777463543471826687,11216307
455,1777463543482045037,1777463543503304370,21259333
456,1777463543513425751,1777463543526686683,13260932
457,1777463543536900001,1777463543546237328,9337327
458,1777463543556462918,1777463543561980198,5517280
459,1777463543572190975,1777463543614275925,42084950
460,1777463543624393607,1777463543627915542,3521935
461,1777463543638140183,1777463543643354999,5214816
462,1777463543653507638,1777463543666807305,13299667
463,1777463543677025979,1777463543682708025,5682046
464,1777463543692919870,1777463543717541383,24621513
465,1777463543727756115,1777463543739361066,11604951
466,1777463543749491374,1777463543807998881,58507507
467,1777463543818200345,1777463543827195349,8995004
468,1777463543837443458,1777463543847113171,9669713
469,1777463543857298422,1777463543861828778,4530356
470,1777463543872060060,1777463543883640174,11580114
471,1777463543893778679,1777463543900601210,6822531
472,1777463543910727696,1777463543919031241,8303545
473,1777463543929176952,1777463543936349275,7172323
474,1777463543946509565,1777463543956344898,9835333
475,1777463543966471779,1777463543972410540,5938761
476,1777463543982643680,1777463543985240541,2596861
477,1777463543995386731,1777463544015997734,20611003
478,1777463544026092493,1777463544043490338,17397845
479,1777463544053746904,1777463544065343432,11596528
480,1777463544075490341,1777463544089602332,14111991
481,1777463544099804639,1777463544113234977,13430338
482,1777463544123390205,1777463544130610795,7220590
483,1777463544140771881,1777463544144461388,3689507
484,1777463544154684779,1777463544176372490,21687711
485,1777463544186527914,1777463544190506050,3978136
486,1777463544200768802,1777463544228109034,27340232
487,1777463544238348954,1777463544259708108,21359154
488,1777463544269941370,1777463544278952099,9010729
489,1777463544289238590,1777463544294387412,5148822
490,1777463544304547176,1777463544313806718,9259542
491,1777463544324002938,1777463544373257453,49254515
492,1777463544383514500,1777463544394124150,10609650
493,1777463544404255967,1777463544432506591,28250624
494,1777463544442667800,1777463544481880827,39213027
495,1777463544492049811,1777463544547516082,55466271
496,1777463544557753170,1777463544564186946,6433776
497,1777463544574312448,1777463544583936412,9623964
498,1777463544594150360,1777463544601289344,7138984
499,1777463544611523247,1777463544751129309,139606062
500,1777463544761363869,1777463544768863320,7499451
501,1777463544779005272,1777463544783257057,4251785
502,1777463544793377313,1777463544808161171,14783858
503,1777463544818429456,1777463544825601320,7171864
504,1777463544835759338,1777463544954110070,118350732
505,1777463544964370973,1777463544974116398,9745425
506,1777463544984359337,1777463545038431448,54072111
507,1777463545048805079,1777463545060721513,11916434
508,1777463545070932465,1777463545139249620,68317155
509,1777463545149498491,1777463545157117129,7618638
510,1777463545167257971,1777463545212510655,45252684
511,1777463545222674368,1777463545239995766,17321398
512,1777463545250242198,1777463545263552343,13310145
513,1777463545273721084,1777463545291489661,17768577
514,1777463545301650992,1777463545304351958,2700966
515,1777463545314604832,1777463545331668835,17064003
516,1777463545341839351,1777463545345004858,3165507
517,1777463545355264989,1777463545364847668,9582679
518,1777463545375001737,1777463545404600380,29598643
519,1777463545414716857,1777463545418543610,3826753
520,1777463545428684061,1777463545437425710,8741649
521,1777463545447561370,1777463545453833623,6272253
522,1777463545463958756,1777463545469532254,5573498
523,1777463545479767172,1777463545486418578,6651406
524,1777463545496582047,1777463545506394501,9812454
525,1777463545516526611,1777463545521559839,5033228
526,1777463545531705230,1777463545538677640,6972410
527,1777463545548945113,1777463545553028410,4083297
528,1777463545563217572,1777463545569215057,5997485
529,1777463545579345430,1777463545587392711,8047281
530,1777463545597504170,1777463545672349166,74844996
531,1777463545682587720,1777463545692874065,10286345
532,1777463545703192086,1777463545748956856,45764770
533,1777463545759178935,1777463545772664276,13485341
534,1777463545782939428,1777463545789409728,6470300
535,1777463545799684072,1777463545826284378,26600306
536,1777463545836432930,1777463545845085045,8652115
537,1777463545855438917,1777463545875866572,20427655
538,1777463545886225701,1777463545901032554,14806853
539,1777463545911173075,1777463545915577152,4404077
