seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
498,1777463870039134727,1777463870040964732,1830005
499,1777463870051205114,1777463870063694246,12489132
500,1777463870073954742,1777463870079097016,5142274
501,1777463870089225956,1777463870091902857,2676901
502,1777463870102036428,1777463870106716120,4679692
503,1777463870116863733,1777463870122259647,5395914
504,1777463870132408359,1777463870138023057,5614698
505,1777463870148249411,1777463870168473208,20223797
506,1777463870178745038,1777463870186047925,7302887
507,1777463870196262902,1777463870198014173,1751271
508,1777463870208325094,1777463870211680288,3355194
509,1777463870221808793,1777463870224316075,2507282
510,1777463870234478187,1777463870246277270,11799083
511,1777463870256424936,1777463870269372039,12947103
512,1777463870279736168,1777463870295596206,15860038
513,1777463870305852156,1777463870309775447,3923291
514,1777463870319968131,1777463870323867748,3899617
515,1777463870334036652,1777463870338433027,4396375
516,1777463870348570332,1777463870354231010,5660678
517,1777463870364354205,1777463870366343904,1989699
518,1777463870376501174,1777463870390498092,13996918
519,1777463870400635330,1777463870403653485,3018155
520,1777463870413822722,1777463870428418551,14595829
521,1777463870438568844,1777463870465915594,27346750
522,1777463870476046578,1777463870478387297,2340719
523,1777463870488537695,1777463870493514726,4977031
524,1777463870503686330,1777463870505638385,1952055
525,1777463870515764539,1777463870532333049,16568510
526,1777463870542475059,1777463870552926649,10451590
527,1777463870563214187,1777463870605271057,42056870
528,1777463870615569573,1777463870618294920,2725347
529,1777463870628628318,1777463870630737324,2109006
530,1777463870640900808,1777463870642973432,2072624
531,1777463870653097632,1777463870655087777,1990145
532,1777463870665229209,1777463870698185798,32956589
533,1777463870708359737,1777463870710327478,1967741
534,1777463870720470907,1777463870724704740,4233833
535,1777463870734892935,1777463870737454813,2561878
536,1777463870747585770,1777463870776044182,28458412
537,1777463870786193558,1777463870788115963,1922405
538,1777463870798263863,1777463870800466275,2202412
539,1777463870810626184,1777463870812384927,1758743
540,1777463870822544732,1777463870834242943,11698211
541,1777463870844388864,1777463870847458497,3069633
542,1777463870857776771,1777463870915765666,57988895
543,1777463870925913785,1777463870940031336,14117551
544,1777463870950302313,1777463870952305715,2003402
545,1777463870962455100,1777463870965269144,2814044
546,1777463870975527598,1777463870979186948,3659350
547,1777463870989346838,1777463870991400432,2053594
548,1777463871001547567,1777463871017272710,15725143
549,1777463871027528786,1777463871036155873,8627087
550,1777463871046372675,1777463871064463134,18090459
551,1777463871074617795,1777463871084899304,10281509
552,1777463871095196579,1777463871102096090,6899511
553,1777463871112305271,1777463871118379284,6074013
554,1777463871128512750,1777463871131110613,2597863
555,1777463871141361136,1777463871144470073,3108937
